ID,NAME,TYPE,ADDRESS,CITY,STATE,ZIP,CONTACT,PHONE,NOTES,ACTIVE,,,,,,,,,,,,
1,Agri Exotic Trading,donor,"700 Route 46 West,  Suite 5", Clifton ,NJ,07013, Stu KaminskyOwner & Operator ,973-546-8601,dd,1),,,,,,,,,,,,
2,Allendale Bar & Grille,donor,67 West Allendale Ave.,Allendale,NJ,07401, Michael Kunisch , 201-327-3197 ,  ,0),,,,,,,,,,,,
3,Allendale Eats,donor,101 West Allendale Ave,Allendale,NJ,07401, Denise Kimball-Owner , 201-825-0110 ,NULL,0),,,,,,,,,,,,
4,Alpine Country Club,donor,80 Anderson Avenue,Demarest,NJ,07627, Chef John Michael , 404-502-2120 ,  ,1),,,,,,,,,,,,
5,Auntie Annes Pretzels,donor,1 Garden State Plaza,Paramus,NJ,07652, Angel Mestre , 201-843-1388 ,NULL,0),,,,,,,,,,,,
6,ACME Allendale,donor,45 DeMercurio Drive,Allendale,NJ,07401, Gerry D\ Ascoli -Store Director , 201-934-9161 ,  ,1),,,,,,,,,,,,
7,A&P Bloomfield,donor,19 Belleville Avenue,Bloomfield,NJ,07003, Tony Wong , 973-429-8754 ,NULL,0),,,,,,,,,,,,
8,Stop and Shop Closter,donor,400 Demarest Ave.,Closter,NJ,07624, Heidi  VonGlahn Store Manager , 201-784-7180 , Eric Rec Mgr\r\n\r\nAllison Pissarro asst store mgr ,1),,,,,,,,,,,,
9,A&P Fairview,donor,425 Anderson Ave,Fairview,NJ,07022, Tony Alibrando , 201-941-2800 ,NULL,0),,,,,,,,,,,,
10,ACME Fort Lee,donor,2160 Lemoine Ave.,Fort Lee,NJ,07024, Joseph Alfonso-Store Director , 201-944-1145 , Danny Receiving ,1),,,,,,,,,,,,
11,ACME Hoboken,donor,614 Clinton Street,Hoboken,NJ,07030, Rich Stanel - Store Director , 201-795-1783 , Go in receiving door ,1),,,,,,,,,,,,
12,ACME Jersey City (18th),donor,125 18th Street,Jersey City,NJ,07310, John Bincoletto -Store Director , 201-499-0385 ,  ,0),,,,,,,,,,,,
13,ACME Mahwah,donor,117 Franklin Turnpike,Mahwah,NJ,07430, Mike Foley Store Director , 201-529-9775 , Michelle Rec Mgr ,1),,,,,,,,,,,,
14,ACME Midland Park,donor,137 Lake Street,Midland Park,NJ,07432, Maryann Holton- Store Director , 201-493-7050 ,  ,1),,,,,,,,,,,,
15,ACME Montclair,donor,510 Valley Road,Montclair,NJ,07043, Larry Zbikowski- Store Director , 973-746-3239 ,  ,1),,,,,,,,,,,,
16,Super Foodtown,donor,216 Old Tappan Road,Old Tappan,NJ,07675, Gary Hanke Mgr John Estevez Owner , 201-664-2954 ,  ,0),,,,,,,,,,,,
17,ACME Park Ridge,donor,199 Kinderkamack Road,Park Ridge,NJ,07656, Roger Quick- Store Director , 201-391-9610 , Jose Rego-- Asst Store Director\r\nBrad Rec Mgr ,1),,,,,,,,,,,,
18,A&P Pompton Lakes,donor,63 Wanaque Ave.,Pompton Lakes,NJ,07442, Peter Ferraro , 973-616-9960 ,NULL,0),,,,,,,,,,,,
19,ACME Saddle Brook,donor,75 Mayhill Street,Saddle Brook,NJ,07663, Eugene Pate- Store Director , 201-712-9191 ,  ,1),,,,,,,,,,,,
20,A&P Wayne,donor,560 Valley Road,Wayne,NJ,07470, Dave Devers , 973-305-1660 ,NULL,0),,,,,,,,,,,,
21,A&P Woodland Park,donor,1730 Route 46,Woodland Park, NJ,07424, Frank Urin , 973-812-8300 ,NULL,0)           ,,,,,,,,,,,,
22,Super Foodtown Nicholas Markets,donor,315 Pascack Road,Washington Township,NJ,07676, Matt Cavanagh- Store Director , 201-666-2185 ,"Yearly Letter and all Corporate Correspondence goes to \r\nDavid Maniaci-CEO\r\nNicholas Markets Foodtown\r\n195 Browertown Road\r\nWoodland Park, NJ 07424",1), , ,,,,,,,,,,
23, ACME Woodcliff Lake , donor , 520 Chestnut Ridge Road ,Woodcliff Lake,NJ,07677, Michael Foley-Store Director , 201-476-9800/9825 , Joel Rec Mgr \r\nJose Rec only on Wednesdays ,0)           ,,,,,,,,,,,,
24,ACME West New York,donor,55 Riverwalk Drive,West New York,NJ,07093, Matt Merville-Store Director , 201-272-1169 ,  ,1)           ,,,,,,,,,,,,
25,Auerpak Brand,donor,117 Seaview Drive,Secaucus,NJ,07094, Jim Maguire , 201-807-9292 , Jmaguire@auerpak.com ,1)           ,,,,,,,,,,,,
26,Aunt Gussie\s Cookies,donor,141 Lanza Avenue Bldg,Garfield,NJ,07026, David Caine-President , 973-340-4480 \next 10 ,NULL,0)     ,,,,,,,,,,,,
27,Bahama Breeze,donor,1600 Bergen Town Center,Paramus,NJ,07652, Brian Mendez-General Manager , 201-368-5860 ,  ,1),,,,,,,,,,,,
